Volcanoes,Age,Uncertainty (±),Height (m),Height (ft),Quarried,Location,Lat,Long,Visited,Date visited
Albert Park Volcano,145000,4000,NA,NA,FALSE,-36.8486; 174.7673,-36.8486, 174.7673,TRUE,2023-07-17
Ash Hill,31800,400,30,98,FALSE,-37.002754; 174.867545,-37.002754, 174.867545,TRUE,2023-11-06
Boggust Park Crater,130000,NA,14,46,FALSE,-36.955413; 174.813552,-36.955413, 174.813552,NA,NA
Cemetery Crater,NA,NA,33,108,FALSE,-36.989828; 174.841082,-36.989828, 174.841082,NA,NA
Crater Hill,30400,800,NA,NA,FALSE,-36.986546; 174.827135,-36.986546, 174.827135,NA,NA
Grafton Volcano,106500,NA,82,269,FALSE,-36.858440; 174.763624,-36.858440, 174.763624,TRUE,2023-08-05
Hampton Park,57000,32000,43,141,FALSE,-36.950925; 174.89544,-36.950925, 174.89544,NA,NA
Kohuora,33700,2400,37,121,FALSE,-36.97873; 174.842691,-36.97873, 174.842691,NA,NA
Māngere Lagoon,59500,NA,20,66,FALSE,-36.95702; 174.77763,-36.95702, 174.77763,TRUE,2023-10-14
Matanginui / Green Mount,19600,6600,78,256,FALSE,-36.939911; 174.898267,-36.939911, 174.898267,NA,NA
Matukutureia / McLaughlins Mountain,48200,6400,73,240,FALSE,-37.013511; 174.845974,-37.013511, 174.845974,TRUE,2023-11-06
Maungakiekie / One Tree Hill,67000,12000,182,597,FALSE,-36.90000; 174.78306,-36.90000, 174.78306,TRUE,2023-07-22
Maungarahiri / Little Rangitoto,24600,600,75,246,FALSE,-36.875407; 174.809636,-36.875407, 174.809636,TRUE,2023-11-04
Maungarei / Mount Wellington,10000,1000,135,443,FALSE,-36.89306; 174.846556,-36.89306, 174.846556,TRUE,2023-08-27
Maungataketake / Elletts Mountain,88900,4800,76,249,FALSE,-36.994635; 174.747548,-36.994635, 174.747548,NA,NA
Maungauika / North Head,87500,15200,50,160,FALSE,-36.827751; 174.81205,-36.827751, 174.81205,TRUE,2023-07-11
Maungawhau / Mount Eden,28000,600,196,643,FALSE,-36.877; 174.764,-36.877, 174.764,TRUE,2023-09-01
Motukorea / Browns Island,24400,600,68,223,FALSE,-36.8306; 174.8948,-36.8306, 174.8948,NA,NA
Mount Robertson / Sturges Park,24300,800,78,256,FALSE,-36.948477; 174.841726,-36.948477, 174.841726,NA,NA
Ōhinerau / Mount Hobson,34200,1800,143,469,FALSE,-36.877814; 174.786156,-36.877814, 174.786156,TRUE,2023-07-22
Ohuiarangi / Pigeon Mountain,23400,800,55,180,FALSE,-36.888846; 174.903116,-36.888846, 174.903116,TRUE,2023-07-30
Ōrākei Basin,126000,6000,54,177,FALSE,-36.867124; 174.81308,-36.867124, 174.81308,TRUE,2023-11-04
