Volcanoes,Age,Uncertainty (±),Height (m),Height (ft),Quarried,Location
Albert Park Volcano,145000,4000,NA,NA,FALSE, -36.8486; 174.7673
Ash Hill,31800,400,30,98,FALSE, -37.002754; 174.867545
Boggust Park Crater,130000,NA,14,46,FALSE, -36.955413; 174.813552
Cemetery Crater,NA,NA,33,108,FALSE, -36.989828; 174.841082
Crater Hill,30400,800,NA,NA,FALSE, -36.986546; 174.827135
Grafton Volcano,106500,NA,82,269,FALSE, -36.858440; 174.763624
Hampton Park,57000,32000,43,141,FALSE, -36.950925; 174.89544
Kohuora,33700,2400,37,121,FALSE, -36.97873; 174.842691
Māngere Lagoon,59500,NA,20,66,FALSE, -36.95702; 174.77763
Matanginui / Green Mount,19600,6600,78,256,FALSE, -36.939911; 174.898267
Matukutureia / McLaughlins Mountain,48200,6400,73,240,FALSE, -37.013511; 174.845974
Maungakiekie / One Tree Hill,67000,12000,182,597,FALSE, -36.90000; 174.78306
Maungarahiri / Little Rangitoto,24600,600,75,246,FALSE, -36.875407; 174.809636
Maungarei / Mount Wellington,10000,1000,135,443,FALSE, -36.89306; 174.846556
Maungataketake / Elletts Mountain,88900,4800,76,249,FALSE, -36.994635; 174.747548
Maungauika / North Head,87500,15200,50,160,FALSE, -36.827751; 174.81205
Maungawhau / Mount Eden,28000,600,196,643,FALSE, -36.877; 174.764
Motukorea / Browns Island,24400,600,68,223,FALSE, -36.8306; 174.8948
Mount Robertson / Sturges Park,24300,800,78,256,FALSE, -36.948477; 174.841726
Ōhinerau / Mount Hobson,34200,1800,143,469,FALSE, -36.877814; 174.786156
Ohuiarangi / Pigeon Mountain,23400,800,55,180,FALSE, -36.888846; 174.903116
Ōrākei Basin,126000,6000,54,177,FALSE, -36.867124; 174.81308
Ōtāhuhu / Mount Richmond,30200,4200,50,160,FALSE, -36.932562; 174.839451
Ōtuataua,24200,1800,64,210,FALSE, -36.98611; 174.75417
Ōwairaka / Te Ahi-kā-a-Rakataura / Mount Albert,119200,5600,135,443,FALSE, -36.890475; 174.720097
Puhinui Craters,NA,NA,24,79,FALSE, -37.01465; 174.83296
Pukaki Lagoon,45000,NA,37,121,FALSE, -36.982998; 174.810226
Pukeiti,23700,NA,30,98,FALSE, -36.983756; 174.757183
Pukekawa / Auckland Domain,106000,8000,77,253,FALSE, -36.859158; 174.775808
Pukewīwī / Puketāpapa / Mount Roskill,105300,6200,110,360,FALSE, -36.912286; 174.737371
Pukewairiki,130000,NA,35,115,FALSE, -36.944078; 174.865887
Pupuke,193200,5600,34,112,FALSE, -36.780115; 174.766184
Rangitoto Island,620,NA,260,850,FALSE, -36.786742; 174.860115
Rarotonga / Mount Smart,20100,200,87,285,TRUE, -36.91833; 174.81250
Styaks Swamp,19100,NA,16,52,FALSE, -36.936138; 174.900155
Takaroro / Mount Cambria,42300,22000,30,98,TRUE, -36.824444; 174.801933
Takarunga / Mount Victoria,34800,4000,87,285,FALSE, -36.8266; 174.7990
Taurere / Taylors Hill,30200,200,56,184,FALSE, -36.864223; 174.869943
Te Apunga-o-Tainui / McLennan Hills,41300,2400,45,148,TRUE, -36.929208; 174.846468
Te Hopua-a-Rangi / Gloucester Park,31000,NA,12,39,FALSE, -36.9295; 174.784734
Te Kopua Kai-a-Hiku / Panmure Basin,25200,1800,35,115,FALSE, -36.90495; 174.849343
Te Kopua-o-Matakamokamo / Tank Farm / Tuff Crater,181000,2000,46,151,FALSE, -36.8020; 174.7533
Onepoto,187600,NA,46,151,FALSE, -36.80818; 174.75085
Te Kōpuke / Tītīkōpuke / Mount St John,75300,3400,126,413,FALSE, -36.883431; 174.780196
Te Motu-a-Hiaroa / Puketutu,29800,4400,65,213,FALSE, -36.965186; 174.747248
Te Pane-o-Mataaho / Māngere Mountain,59000,20000,106,348,FALSE, -36.9496; 174.7831
Te Pou Hawaiki,28000,NA,95,312,TRUE, -36.88247; 174.766726
Te Puke ō Tara / Otara Hill,56500,NA,89,292,TRUE, -36.947105; 174.898363
Te Tātua-a-Riukiuta / Three Kings,31000,1800,133,436,FALSE, -36.902926; 174.754651
Te Tauoma / Purchas Hill,10900,200,50,160,TRUE, -36.887138; 174.847476
Waitomokia / Mt Gabriel,20300,200,22,72,TRUE, -36.976981; 174.770336
Whakamuhu / Saint Heliers / Glover Park,161000,36000,65,213,FALSE, -36.846911; 174.867662
Wiri Mountain / Matukutūruru,30550,450,80,260,TRUE, -37.007334; 174.858441
